菜品名,属于,菜系
夏天必吃减脂瘦身美食，果香浓郁的酸辣柠檬大虾,属于,浙菜
擂灰圆,属于,浙菜
避风塘酥脆虾,属于,浙菜
虾味球冬瓜三色芝士年糕,属于,浙菜
炸响铃,属于,浙菜
清明螺，赛过鹅～田螺塞肉,属于,浙菜
春笋炒年糕,属于,浙菜
鸡蛋青菜炒年糕,属于,浙菜
年糕炒香肠,属于,浙菜
包心菜鸡腿煮年糕,属于,浙菜
鸡翅炖年糕,属于,浙菜
鲮鱼饼虾仁汤年糕,属于,浙菜
排骨萝卜汤年糕,属于,浙菜
家乡咸汤圆,属于,浙菜
银耳红薯花色年糕,属于,浙菜
炒年糕,属于,浙菜
桂花年糕,属于,浙菜
浙江名菜&蒜爆目鱼花,属于,浙菜
龙井虾仁,属于,浙菜
粢饭团丨早餐吃一个半天都不饿,属于,浙菜
毛豆烧素记,属于,浙菜
排队N久才能买到的酱鸭，在家也能轻松做，好吃到连骨头都不放过,属于,浙菜
鸭子煲,属于,浙菜
炒虾的华丽升级——避风塘炒虾,属于,浙菜
咸菜榨菜丝粢饭团,属于,浙菜
油焖春笋,属于,浙菜
温州松糕,属于,浙菜
宁波水磨年糕,属于,浙菜
葱油拌面,属于,浙菜
家庭版佛跳墙,属于,闽菜
家庭版姜母鸭,属于,闽菜
福州红糟肉,属于,闽菜
五指毛桃煲老鸽,属于,闽菜
蒸佛跳墙拌粉丝,属于,闽菜
（闽菜）酒糟鸡,属于,闽菜
沙茶牛肉片,属于,闽菜
福鼎肉片,属于,闽菜
蚝烙,属于,闽菜
煎小蚝仔,属于,闽菜
炒笋粿,属于,闽菜
莆仙红团(绿豆馅),属于,闽菜
福建油饼的做法和配方,属于,闽菜
闽南带鱼饭,属于,闽菜
闽南炣廋肉,属于,闽菜
红糖糍粑,属于,闽菜
虾仁胡萝卜粥,属于,闽菜
厦门海蛎煎,属于,闽菜
闽南粉仔粿,属于,闽菜
桂花红糖糍粑,属于,闽菜
【闽南蚝仔煎】,属于,闽菜
红糖糍粑，槐花糯米糕,属于,闽菜
蛋皮燕,属于,闽菜
闽南菜干饭,属于,闽菜
仙草烧芋圆,属于,闽菜
炒海鲜味地瓜粉,属于,闽菜
青椒酿肉,属于,闽菜
蚂蚁上树,属于,川菜
家常酸辣粉,属于,川菜
双椒回锅肉,属于,川菜
经典川味担担面，吃一次就念念不忘的味道,属于,川菜
川菜版宫保鸡丁,属于,川菜
口水鸡,属于,川菜
麻辣血旺,属于,川菜
鱼香肉丝,属于,川菜
四川哨子面,属于,川菜
四川腊肉,属于,川菜
宫保鸡丁,属于,川菜
自制串串香,属于,川菜
麻辣香锅,属于,川菜
水煮豆皮肉片,属于,川菜
水煮鱼片,属于,川菜
水煮牛肉,属于,川菜
家常钵钵鸡，简单方便，随便煮点什么都好吃，自己做吃到撑。,属于,川菜
超easy麻婆豆腐,属于,川菜
麻辣豆腐,属于,川菜
酸汤肥牛的做法，酸汤肥牛最简单的家常做法，肥牛怎么做好吃,属于,川菜
暖身暖心子姜鸭,属于,川菜
囗水鸡,属于,川菜
干煸四季豆,属于,川菜
麻婆豆腐,属于,川菜
广式生滚汤 | 猪湿粉肠瘦肉芥菜汤,属于,粤菜
虎皮凤爪,属于,粤菜
腊肠煲仔饭,属于,粤菜
碌鸭,属于,粤菜
豉油皇鸭肠,属于,粤菜
蚝油生菜（白灼生菜）,属于,粤菜
竹荪猪肚鸡,属于,粤菜
广式叉烧肉,属于,粤菜
腊肠窝蛋煲仔饭,属于,粤菜
广式腊味煲仔饭,属于,粤菜
香肠煲仔饭,属于,粤菜
蒜香广东菜心,属于,粤菜
广东名菜-生炒菜心,属于,粤菜
猪脚姜,属于,粤菜
广式辣肠焖饭,属于,粤菜
仔姜焖鸭,属于,粤菜
盐焗鸡,属于,粤菜
腊味煲仔饭（家庭版）,属于,粤菜
猪肚鸡🌯🍱🥘,属于,粤菜
五指毛桃排骨汤,属于,粤菜
腊味煲仔饭,属于,粤菜
猪肉香葱炒河粉,属于,粤菜
白灼菜心,属于,粤菜
复刻粤菜虾仁滑蛋,属于,粤菜
腊味煲仔饭（电饭锅版）,属于,粤菜
叉烧包,属于,粤菜
白切鸡,属于,粤菜
桂花糖芋艿,属于,苏菜
五香虎皮鸡蛋,属于,苏菜
正宗苏式熏鱼,属于,苏菜
葱包桧儿,属于,苏菜
软兜长鱼,属于,苏菜
无锡排骨,属于,苏菜
龙虎斗烧饼,属于,苏菜
青团,属于,苏菜
赣榆煎饼卷三丝,属于,苏菜
红烧划水,属于,苏菜
粢饭团,属于,苏菜
清炖狮子头,属于,苏菜
松鼠鱼,属于,苏菜
黄桥烧饼,属于,苏菜
蜜三刀,属于,苏菜
扬州炒饭,属于,苏菜
双糯米蒸饭包油条,属于,苏菜
清蒸大闸蟹,属于,苏菜
把子肉,属于,苏菜
猪肉汤团 汤圆,属于,苏菜
黄焖鸡家庭版,属于,苏菜
腌笃鲜,属于,苏菜
【自带文化味道的茄子】茄胙,属于,苏菜
清蒸黄花鱼,属于,苏菜
腐乳炒菜心,属于,苏菜
正宗鲁菜--油焖大虾,属于,鲁菜
木须肉片,属于,鲁菜
糖醋里脊,属于,鲁菜
油焖大虾,属于,鲁菜
葱烧海参,属于,鲁菜
木须肉,属于,鲁菜
把子肉,属于,鲁菜
德州扒鸡,属于,鲁菜
《三生三世枕上书》同款糖醋鱼～茄汁糖醋鱼,属于,鲁菜
四合院家香之坛子肉,属于,鲁菜
福禄寿喜到，吃了会好运的四喜丸子，肉香满口,属于,鲁菜
香酥鸡,属于,鲁菜
锅塌豆腐,属于,鲁菜
菠萝咕咾肉,属于,鲁菜
羊肉  葱爆羊肉,属于,鲁菜
糖醋鱼,属于,鲁菜
比饭店还好吃的糖醋里脊,属于,鲁菜
红烧大虾,属于,鲁菜
